"date","county","state","vehicle_primary_use","battery_electric_vehicles_bevs_","plug_in_hybrid_electric_vehicles_phevs_","electric_vehicle_ev_total","non_electric_vehicles","total_vehicles","percent_electric_vehicles"
"2017-01-31T00:00:00.000","Marin","CA","Passenger","1","0","1","54","55","1.818181818181818181818181818"
"2017-01-31T00:00:00.000","Klickitat","WA","Truck","0","0","0","8231","8231","0"
"2017-01-31T00:00:00.000","Prince William","VA","Passenger","0","3","3","270","273","1.098901098901098901098901099"
"2017-01-31T00:00:00.000","Pierce","WA","Passenger","829","807","1636","533685","535321","0.3056110259078197941048455039"
"2017-01-31T00:00:00.000","Mason","WA","Passenger","50","60","110","43587","43697","0.2517335286175252305650273474"
"2017-01-31T00:00:00.000","Manassas City","VA","Passenger","0","1","1","8","9","11.11111111111111111111111111"
"2017-01-31T00:00:00.000","Manatee","FL","Passenger","1","0","1","51","52","1.923076923076923076923076923"
"2017-01-31T00:00:00.000","Miami-Dade","FL","Passenger","0","1","1","131","132","0.7575757575757575757575757576"
"2017-01-31T00:00:00.000","Riley","KS","Passenger","1","0","1","97","98","1.020408163265306122448979592"
"2017-01-31T00:00:00.000","San Mateo","CA","Passenger","0","1","1","170","171","0.5847953216374269005847953216"
"2017-01-31T00:00:00.000","Santa Barbara","CA","Passenger","0","1","1","134","135","0.7407407407407407407407407407"
"2017-01-31T00:00:00.000","Russell","AL","Passenger","1","0","1","55","56","1.785714285714285714285714286"
"2017-01-31T00:00:00.000","Lincoln","WA","Truck","0","0","0","4593","4593","0"
"2017-01-31T00:00:00.000","Monroe","NY","Passenger","1","0","1","28","29","3.448275862068965517241379310"
"2017-01-31T00:00:00.000","Moore","NC","Passenger","0","1","1","215","216","0.4629629629629629629629629630"
"2017-01-31T00:00:00.000","Skagit","WA","Truck","1","0","1","32283","32284","0.003097509602279767067277908562"
"2017-01-31T00:00:00.000","Skagit","WA","Passenger","107","97","204","88666","88870","0.2295487791155620569370991336"
"2017-01-31T00:00:00.000","Salt Lake","UT","Passenger","0","1","1","336","337","0.2967359050445103857566765579"
"2017-01-31T00:00:00.000","Snohomish","WA","Truck","1","0","1","126098","126099","0.0007930277004575769831640219193"
"2017-01-31T00:00:00.000","Snohomish","WA","Passenger","1553","889","2442","519700","522142","0.4676888662471128543576268525"
"2017-01-31T00:00:00.000","Multnomah","OR","Passenger","0","3","3","1271","1274","0.2354788069073783359497645212"
"2017-01-31T00:00:00.000","Larimer","CO","Passenger","0","1","1","92","93","1.075268817204301075268817204"
"2017-01-31T00:00:00.000","Stevens","WA","Passenger","6","23","29","32306","32335","0.08968609865470852017937219731"
"2017-01-31T00:00:00.000","Pacific","WA","Truck","0","0","0","7699","7699","0"
"2017-01-31T00:00:00.000","Santa Fe","NM","Passenger","0","1","1","41","42","2.380952380952380952380952381"
"2017-01-31T00:00:00.000","Stevens","WA","Truck","0","0","0","19092","19092","0"
"2017-01-31T00:00:00.000","Saratoga","NY","Passenger","0","1","1","78","79","1.265822784810126582278481013"
"2017-01-31T00:00:00.000","Marion","FL","Passenger","1","0","1","24","25","4.00"
"2017-01-31T00:00:00.000","Tarrant","TX","Passenger","0","2","2","321","323","0.6191950464396284829721362229"
"2017-01-31T00:00:00.000","Okanogan","WA","Passenger","0","4","4","6763","6767","0.05911038865080537904536722329"
"2017-01-31T00:00:00.000","Skamania","WA","Passenger","7","7","14","8740","8754","0.1599268905643134567055060544"
"2017-01-31T00:00:00.000","Sumter","FL","Passenger","0","1","1","9","10","10.0"
"2017-01-31T00:00:00.000","Okanogan","WA","Truck","0","0","0","4620","4620","0"
"2017-01-31T00:00:00.000","Mason","WA","Truck","0","0","0","19810","19810","0"
"2017-01-31T00:00:00.000","Pima","AZ","Passenger","0","2","2","444","446","0.4484304932735426008968609865"
"2017-01-31T00:00:00.000","Polk","FL","Passenger","1","0","1","66","67","1.492537313432835820895522388"
"2017-01-31T00:00:00.000","Travis","TX","Passenger","0","1","1","202","203","0.4926108374384236453201970443"
"2017-01-31T00:00:00.000","Pierce","WA","Truck","0","0","0","142299","142299","0"
"2017-01-31T00:00:00.000","Montgomery","TN","Passenger","1","0","1","300","301","0.3322259136212624584717607973"
"2017-01-31T00:00:00.000","Wahkiakum","WA","Passenger","0","1","1","2908","2909","0.03437607425232038501203162599"
"2017-01-31T00:00:00.000","Utah","UT","Passenger","0","1","1","187","188","0.5319148936170212765957446809"
"2017-01-31T00:00:00.000","Walla Walla","WA","Passenger","16","21","37","35447","35484","0.1042723481005523616277758990"
"2017-01-31T00:00:00.000","Virginia Beach City","VA","Passenger","1","1","2","644","646","0.3095975232198142414860681115"
"2017-01-31T00:00:00.000","Yakima","WA","Truck","0","0","0","59611","59611","0"
"2017-01-31T00:00:00.000","Yakima","WA","Passenger","35","53","88","163236","163324","0.05388062991354608018417378952"
"2017-01-31T00:00:00.000","Wayne","MI","Passenger","0","2","2","78","80","2.500"
"2017-01-31T00:00:00.000","Norfolk City","VA","Passenger","2","1","3","318","321","0.9345794392523364485981308411"
"2017-01-31T00:00:00.000","Riverside","CA","Passenger","0","1","1","875","876","0.1141552511415525114155251142"
"2017-01-31T00:00:00.000","Whatcom","WA","Passenger","388","159","547","143429","143976","0.3799244318497527365672056454"
"2017-01-31T00:00:00.000","Northampton","PA","Passenger","2","0","2","258","260","0.7692307692307692307692307692"
"2017-01-31T00:00:00.000","Whitman","WA","Truck","0","0","0","8593","8593","0"
"2017-01-31T00:00:00.000","Whitman","WA","Passenger","8","21","29","22169","22198","0.1306424002162356969096314983"
"2017-01-31T00:00:00.000","Orange","CA","Passenger","2","1","3","715","718","0.4178272980501392757660167131"
"2017-01-31T00:00:00.000","Saint Marys","MD","Passenger","0","1","1","201","202","0.4950495049504950495049504950"
"2017-01-31T00:00:00.000","Yavapai","AZ","Passenger","1","0","1","78","79","1.265822784810126582278481013"
"2017-02-28T00:00:00.000","Anne Arundel","MD","Passenger","0","2","2","513","515","0.3883495145631067961165048544"
"2017-01-31T00:00:00.000","San Juan","WA","Passenger","84","33","117","13667","13784","0.8488102147417295414973882763"
"2017-02-28T00:00:00.000","Asotin","WA","Passenger","4","4","8","12468","12476","0.06412311638345623597306829112"
"2017-01-31T00:00:00.000","Monterey","CA","Passenger","0","1","1","235","236","0.4237288135593220338983050847"
"2017-02-28T00:00:00.000","Asotin","WA","Truck","0","0","0","6653","6653","0"
"2017-02-28T00:00:00.000","NULL","NULL","Passenger","9","4","13","2520","2533","0.5132254243979470983024082116"
"2017-01-31T00:00:00.000","Santa Clara","CA","Passenger","5","3","8","452","460","1.739130434782608695652173913"
"2017-02-28T00:00:00.000","Alameda","CA","Passenger","3","1","4","379","383","1.044386422976501305483028721"
"2017-02-28T00:00:00.000","Adams","WA","Truck","0","0","0","5287","5287","0"
"2017-02-28T00:00:00.000","Alexandria City","VA","Passenger","1","0","1","184","185","0.5405405405405405405405405405"
"2017-02-28T00:00:00.000","Bexar","TX","Passenger","1","3","4","1056","1060","0.3773584905660377358490566038"
"2017-01-31T00:00:00.000","Walla Walla","WA","Truck","0","0","0","13603","13603","0"
"2017-02-28T00:00:00.000","Canyon","ID","Passenger","0","1","1","96","97","1.030927835051546391752577320"
"2017-01-31T00:00:00.000","Okaloosa","FL","Passenger","1","0","1","185","186","0.5376344086021505376344086022"
"2017-01-31T00:00:00.000","Thurston","WA","Truck","0","0","0","54738","54738","0"
"2017-02-28T00:00:00.000","Chelan","WA","Truck","0","0","0","21880","21880","0"
"2017-02-28T00:00:00.000","Cascade","MT","Passenger","0","1","1","56","57","1.754385964912280701754385965"
"2017-01-31T00:00:00.000","Oklahoma","OK","Passenger","0","1","1","208","209","0.4784688995215311004784688995"
"2017-02-28T00:00:00.000","NULL","CA","Passenger","1","0","1","457","458","0.2183406113537117903930131004"
"2017-02-28T00:00:00.000","NULL","WA","Truck","0","0","0","1","1","0"
"2017-02-28T00:00:00.000","Clackamas","OR","Passenger","1","2","3","359","362","0.8287292817679558011049723757"
"2017-01-31T00:00:00.000","Orange","FL","Passenger","0","1","1","151","152","0.6578947368421052631578947368"
"2017-01-31T00:00:00.000","Volusia","FL","Passenger","0","1","1","49","50","2.00"
"2017-01-31T00:00:00.000","Ozaukee","WI","Passenger","0","1","1","4","5","20.0"
"2017-02-28T00:00:00.000","Cowlitz","WA","Truck","0","0","0","28667","28667","0"
"2017-02-28T00:00:00.000","Arlington","VA","Passenger","1","1","2","170","172","1.162790697674418604651162791"
"2017-01-31T00:00:00.000","San Diego","CA","Passenger","4","3","7","2878","2885","0.2426343154246100519930675910"
"2017-02-28T00:00:00.000","Dane","WI","Passenger","1","0","1","161","162","0.6172839506172839506172839506"
"2017-01-31T00:00:00.000","Pinal","AZ","Passenger","2","1","3","250","253","1.185770750988142292490118577"
"2017-02-28T00:00:00.000","Benton","WA","Truck","0","0","0","40971","40971","0"
"2017-02-28T00:00:00.000","District Of Columbia","DC","Passenger","0","3","3","229","232","1.293103448275862068965517241"
"2017-02-28T00:00:00.000","Contra Costa","CA","Passenger","1","0","1","239","240","0.4166666666666666666666666667"
"2017-02-28T00:00:00.000","Deschutes","OR","Passenger","1","0","1","199","200","0.500"
"2017-02-28T00:00:00.000","Duval","FL","Passenger","1","1","2","360","362","0.5524861878453038674033149171"
"2017-02-28T00:00:00.000","Ferry","WA","Passenger","2","1","3","4545","4548","0.06596306068601583113456464380"
"2017-02-28T00:00:00.000","Ferry","WA","Truck","0","0","0","3764","3764","0"
"2017-01-31T00:00:00.000","Skamania","WA","Truck","0","0","0","4083","4083","0"
"2017-02-28T00:00:00.000","Franklin","OH","Passenger","0","1","1","111","112","0.8928571428571428571428571429"
"2017-02-28T00:00:00.000","Franklin","WA","Truck","0","0","0","18477","18477","0"
"2017-02-28T00:00:00.000","Garfield","WA","Truck","0","0","0","962","962","0"
"2017-02-28T00:00:00.000","Franklin","WA","Passenger","26","43","69","56201","56270","0.1226230673538297494224275813"
"2017-02-28T00:00:00.000","Gallatin","MT","Passenger","0","1","1","70","71","1.408450704225352112676056338"
"2017-02-28T00:00:00.000","Charles","MD","Passenger","0","1","1","91","92","1.086956521739130434782608696"
"2017-02-28T00:00:00.000","El Paso","CO","Passenger","1","1","2","843","845","0.2366863905325443786982248521"
"2017-02-28T00:00:00.000","Fulton","GA","Passenger","1","1","2","120","122","1.639344262295081967213114754"
"2017-01-31T00:00:00.000","Spokane","WA","Passenger","226","232","458","298756","299214","0.1530677040512810229467872493"
"2017-02-28T00:00:00.000","Garfield","WA","Passenger","0","0","0","1323","1323","0"
"2017-02-28T00:00:00.000","Clallam","WA","Truck","0","0","0","21572","21572","0"
"2017-01-31T00:00:00.000","Saint Lucie","FL","Passenger","1","0","1","31","32","3.12500"
"2017-02-28T00:00:00.000","Grant","WA","Truck","0","0","0","26050","26050","0"
"2017-02-28T00:00:00.000","Grays Harbor","WA","Truck","0","0","0","20408","20408","0"
"2017-01-31T00:00:00.000","San Juan","WA","Truck","0","0","0","5782","5782","0"
"2017-02-28T00:00:00.000","Cumberland","NC","Passenger","1","0","1","650","651","0.1536098310291858678955453149"
"2017-02-28T00:00:00.000","Guilford","NC","Passenger","1","0","1","32","33","3.030303030303030303030303030"
"2017-02-28T00:00:00.000","Jackson","MO","Passenger","1","0","1","67","68","1.470588235294117647058823529"
"2017-01-31T00:00:00.000","Tulare","CA","Passenger","1","0","1","205","206","0.4854368932038834951456310680"
"2017-02-28T00:00:00.000","Honolulu","HI","Passenger","4","1","5","615","620","0.8064516129032258064516129032"
"2017-01-31T00:00:00.000","Ventura","CA","Passenger","0","2","2","389","391","0.5115089514066496163682864450"
"2017-02-28T00:00:00.000","Clark","WA","Passenger","704","461","1165","302137","303302","0.3841056109092587585970418922"
"2017-02-28T00:00:00.000","Kitsap","WA","Passenger","572","296","868","174711","175579","0.4943643602025299153087783847"
"2017-01-31T00:00:00.000","Shelby","TN","Passenger","0","1","1","118","119","0.8403361344537815126050420168"
"2017-01-31T00:00:00.000","Wahkiakum","WA","Truck","0","0","0","1676","1676","0"
"2017-02-28T00:00:00.000","Fairfax City","VA","Passenger","1","0","1","6","7","14.28571428571428571428571429"
"2017-02-28T00:00:00.000","King","WA","Truck","8","1","9","194706","194715","0.004622140050843540559278946152"
"2017-02-28T00:00:00.000","Columbia","WA","Passenger","0","1","1","2371","2372","0.04215851602023608768971332209"
"2017-01-31T00:00:00.000","Spokane","WA","Truck","1","1","2","92933","92935","0.002152041749609942432883197934"
"2017-02-28T00:00:00.000","Lane","OR","Passenger","0","1","1","258","259","0.3861003861003861003861003861"
"2017-02-28T00:00:00.000","Lewis","WA","Passenger","47","42","89","55907","55996","0.1589399242803057361240088578"
"2017-02-28T00:00:00.000","Glacier","MT","Passenger","0","1","1","3","4","25.00"
"2017-02-28T00:00:00.000","Lewis","WA","Truck","0","0","0","25715","25715","0"
"2017-01-31T00:00:00.000","Whatcom","WA","Truck","2","0","2","42397","42399","0.004717092384254345621358994316"
"2017-02-28T00:00:00.000","Lincoln","WA","Passenger","2","4","6","7708","7714","0.07778065854290899662950479647"
"2017-02-28T00:00:00.000","Grays Harbor","WA","Passenger","26","27","53","44997","45050","0.1176470588235294117647058824"
"2017-02-28T00:00:00.000","Madison","ID","Passenger","1","0","1","42","43","2.325581395348837209302325581"
"2017-01-31T00:00:00.000","Thurston","WA","Passenger","336","322","658","187155","187813","0.3503484849291582584805098689"
"2017-02-28T00:00:00.000","Hamilton","TN","Passenger","1","0","1","23","24","4.166666666666666666666666667"
"2017-02-28T00:00:00.000","Latah","ID","Passenger","0","1","1","121","122","0.8196721311475409836065573770"
"2017-02-28T00:00:00.000","Manassas City","VA","Passenger","0","1","1","8","9","11.11111111111111111111111111"
"2017-02-28T00:00:00.000","Maricopa","AZ","Passenger","2","0","2","1708","1710","0.1169590643274853801169590643"
"2017-02-28T00:00:00.000","Adams","WA","Passenger","3","2","5","12471","12476","0.04007694773966014748316768195"
"2017-02-28T00:00:00.000","Hardin","KY","Passenger","0","1","1","129","130","0.7692307692307692307692307692"
"2017-02-28T00:00:00.000","Mason","WA","Truck","0","0","0","19851","19851","0"
"2017-02-28T00:00:00.000","Harnett","NC","Passenger","1","0","1","266","267","0.3745318352059925093632958801"
"2017-02-28T00:00:00.000","Monroe","NY","Passenger","1","0","1","29","30","3.333333333333333333333333333"
"2017-02-28T00:00:00.000","Missoula","MT","Passenger","1","0","1","73","74","1.351351351351351351351351351"
"2017-02-28T00:00:00.000","Hidalgo","TX","Passenger","0","1","1","98","99","1.010101010101010101010101010"
"2017-02-28T00:00:00.000","Hamilton","IN","Passenger","1","0","1","62","63","1.587301587301587301587301587"
"2017-02-28T00:00:00.000","Monterey","CA","Passenger","0","1","1","229","230","0.4347826086956521739130434783"
"2017-02-28T00:00:00.000","Mason","WA","Passenger","50","63","113","43644","43757","0.2582443951824850881001896839"
"2017-02-28T00:00:00.000","Moore","NC","Passenger","0","1","1","214","215","0.4651162790697674418604651163"
"2017-02-28T00:00:00.000","Jefferson","NY","Passenger","1","1","2","272","274","0.7299270072992700729927007299"
"2017-02-28T00:00:00.000","Miami-Dade","FL","Passenger","0","1","1","128","129","0.7751937984496124031007751938"
"2017-02-28T00:00:00.000","Okanogan","WA","Passenger","0","4","4","6698","6702","0.05968367651447329155475977320"
"2017-02-28T00:00:00.000","Orange","CA","Passenger","2","1","3","695","698","0.4297994269340974212034383954"
"2017-02-28T00:00:00.000","Nueces","TX","Passenger","0","1","1","97","98","1.020408163265306122448979592"
"2017-02-28T00:00:00.000","Kittitas","WA","Truck","0","0","0","13864","13864","0"
"2017-02-28T00:00:00.000","Klickitat","WA","Truck","0","0","0","8240","8240","0"
"2017-02-28T00:00:00.000","Jefferson","WA","Passenger","90","59","149","23993","24142","0.6171816750890564162041255903"
"2017-02-28T00:00:00.000","Benton","WA","Passenger","134","138","272","129669","129941","0.2093257709268052423792336522"
"2017-02-28T00:00:00.000","Montgomery","TN","Passenger","1","0","1","288","289","0.3460207612456747404844290657"
"2017-02-28T00:00:00.000","Larimer","CO","Passenger","0","1","1","79","80","1.2500"
"2017-02-28T00:00:00.000","Pierce","WA","Passenger","871","834","1705","533533","535238","0.3185498787455300258950224012"
"2017-02-28T00:00:00.000","Lewis","NY","Passenger","0","1","1","9","10","10.0"
"2017-02-28T00:00:00.000","Norfolk City","VA","Passenger","2","1","3","321","324","0.9259259259259259259259259259"
"2017-02-28T00:00:00.000","King","WA","Passenger","9136","4104","13240","1394982","1408222","0.9401926684855086768989548523"
"2017-02-28T00:00:00.000","Kittitas","WA","Passenger","16","15","31","27707","27738","0.1117600403778210397288917730"
