time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,98349,Pierce,6,5,1,43,24,20
2017-01-31,98350,Clallam,,,,43,24,20
2017-01-31,98351,Pierce,3,,3,43,24,20
2017-01-31,98353,Kitsap,,,,43,24,20
2017-01-31,98354,Pierce,9,4,5,43,24,20
2017-01-31,98355,Lewis,,,,43,24,20
2017-01-31,98356,Lewis,2,1,1,43,24,20
2017-01-31,98357,Clallam,,,,43,24,20
2017-01-31,98358,Jefferson,12,11,1,43,24,20
2017-01-31,98359,Kitsap,9,7,2,43,24,20
2017-01-31,98360,Pierce,18,8,10,43,24,20
2017-01-31,98361,Lewis,2,,2,43,24,20
2017-01-31,98362,Clallam,46,22,24,43,24,20
2017-01-31,98363,Clallam,13,7,6,43,24,20
2017-01-31,98364,Kitsap,,,,43,24,20
2017-01-31,98365,Jefferson,18,9,9,43,24,20
2017-01-31,98366,Kitsap,51,26,25,43,24,20
2017-01-31,98367,Kitsap,58,38,20,43,24,20
2017-01-31,98368,Jefferson,75,41,34,43,24,20
2017-01-31,98370,Kitsap,73,50,23,43,24,20
2017-01-31,98371,Pierce,37,16,21,43,24,20
2017-01-31,98372,Pierce,43,22,21,43,24,20
2017-01-31,98373,Pierce,38,15,23,43,24,20
2017-01-31,98374,Pierce,92,47,45,43,24,20
2017-01-31,98375,Pierce,32,6,26,43,24,20
2017-01-31,98376,Jefferson,3,2,1,43,24,20
2017-01-31,98377,Lewis,,,,43,24,20
2017-01-31,98380,Kitsap,13,6,7,43,24,20
2017-01-31,98381,Clallam,,,,43,24,20
2017-01-31,98382,Clallam,67,35,32,43,24,20
2017-01-31,98383,Kitsap,39,26,13,43,24,20
2017-01-31,98385,Pierce,1,,1,43,24,20
2017-01-31,98387,Pierce,59,31,28,43,24,20
2017-01-31,98388,Pierce,24,12,12,43,24,20
2017-01-31,98390,Pierce,20,14,6,43,24,20
2017-01-31,98391,Pierce,111,46,65,43,24,20
2017-01-31,98392,Kitsap,10,6,4,43,24,20
2017-01-31,98394,Pierce,3,2,1,43,24,20
2017-01-31,98396,Pierce,1,,1,43,24,20
2017-01-31,98402,Pierce,7,3,4,43,24,20
2017-01-31,98403,Pierce,18,14,4,43,24,20
2017-01-31,98404,Pierce,27,12,15,43,24,20
2017-01-31,98405,Pierce,21,13,8,43,24,20
2017-01-31,98406,Pierce,60,37,23,43,24,20
2017-01-31,98407,Pierce,80,50,30,43,24,20
2017-01-31,98408,Pierce,12,6,6,43,24,20
2017-01-31,98409,Pierce,24,12,12,43,24,20
2017-01-31,98416,Pierce,,,,43,24,20
2017-01-31,98418,Pierce,8,5,3,43,24,20
2017-01-31,98421,Pierce,,,,43,24,20
2017-01-31,98422,Pierce,54,22,32,43,24,20
2017-01-31,98424,Pierce,19,5,14,43,24,20
2017-01-31,98430,Pierce,,,,43,24,20
2017-01-31,98433,Pierce,10,4,6,43,24,20
2017-01-31,98438,Pierce,1,,1,43,24,20
2017-01-31,98439,Pierce,1,1,,43,24,20
2017-01-31,98443,Pierce,5,3,2,43,24,20
2017-01-31,98444,Pierce,24,8,16,43,24,20
2017-01-31,98445,Pierce,33,14,19,43,24,20
2017-01-31,98446,Pierce,12,7,5,43,24,20
