OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
207903716915403|53005010810|Census Tract 108.10|5884868|30347|G5020|S|207403716915405|53005010811|Census Tract 108.11|23203234|0|G5020|S|13210|0
207903716915403|53005010810|Census Tract 108.10|5884868|30347|G5020|S|207403716915411|53005010813|Census Tract 108.13|20529332|0|G5020|S|80098|0
207903716915405|53005010811|Census Tract 108.11|23194228|0|G5020|S|20740228668804|53005010803|Census Tract 108.03|11725818|110453|G5020|S|3469|0
207903716915405|53005010811|Census Tract 108.11|23194228|0|G5020|S|207403716915403|53005010810|Census Tract 108.10|5844841|30347|G5020|S|735|0
207903716915405|53005010811|Census Tract 108.11|23194228|0|G5020|S|207403716915405|53005010811|Census Tract 108.11|23203234|0|G5020|S|23190024|0
207903716915402|53005010814|Census Tract 108.14|93428970|0|G5020|S|207403716915402|53005010814|Census Tract 108.14|95032697|0|G5020|S|93428970|0
2079015483107546|53005010815|Census Tract 108.15|16494273|0|G5020|S|207403716915411|53005010813|Census Tract 108.13|20529332|0|G5020|S|16494273|0
2079015483107550|53005010816|Census Tract 108.16|4019477|0|G5020|S|207403716915411|53005010813|Census Tract 108.13|20529332|0|G5020|S|3954961|0
2079015483107550|53005010816|Census Tract 108.16|4019477|0|G5020|S|20740228669060|53005010901|Census Tract 109.01|7290066|348321|G5020|S|64516|0
2079015483107332|53005010817|Census Tract 108.17|5137593|0|G5020|S|20740228668804|53005010803|Census Tract 108.03|11725818|110453|G5020|S|5137593|0
2079015483107358|53005010818|Census Tract 108.18|6456719|110453|G5020|S|207403716915408|53005010705|Census Tract 107.05|7377667|79644|G5020|S|22394|0
2079015483107358|53005010818|Census Tract 108.18|6456719|110453|G5020|S|20740228668804|53005010803|Census Tract 108.03|11725818|110453|G5020|S|6434325|110453
2079015483107365|53005010819|Census Tract 108.19|5453531|154613|G5020|S|20740228668804|53005010803|Census Tract 108.03|11725818|110453|G5020|S|26983|0
2079015483107365|53005010819|Census Tract 108.19|5453531|154613|G5020|S|207403716915414|53005010805|Census Tract 108.05|10963651|2160405|G5020|S|5426548|154613
2079015483107509|53005010820|Census Tract 108.20|5539314|2005792|G5020|S|207403716915414|53005010805|Census Tract 108.05|10963651|2160405|G5020|S|5528010|2005792
2079015483107509|53005010820|Census Tract 108.20|5539314|2005792|G5020|S|20740228669060|53005010901|Census Tract 109.01|7290066|348321|G5020|S|11304|0
20790228669060|53005010901|Census Tract 109.01|6702092|348321|G5020|S|207403716915414|53005010805|Census Tract 108.05|10963651|2160405|G5020|S|9093|0
20790228669060|53005010901|Census Tract 109.01|6702092|348321|G5020|S|207403716915412|53005010809|Census Tract 108.09|3822157|0|G5020|S|22008|0
20790228669060|53005010901|Census Tract 109.01|6702092|348321|G5020|S|20740228669060|53005010901|Census Tract 109.01|7290066|348321|G5020|S|6654071|348321
20790228669060|53005010901|Census Tract 109.01|6702092|348321|G5020|S|20740228668949|53005011001|Census Tract 110.01|4359941|1372533|G5020|S|16920|0
20790228668976|53005010902|Census Tract 109.02|3129888|0|G5020|S|20740228669060|53005010901|Census Tract 109.01|7290066|348321|G5020|S|560175|0
20790228668976|53005010902|Census Tract 109.02|3129888|0|G5020|S|20740228668976|53005010902|Census Tract 109.02|2569713|0|G5020|S|2569713|0
20790228668949|53005011001|Census Tract 110.01|4343233|1377319|G5020|S|20740228668949|53005011001|Census Tract 110.01|4359941|1372533|G5020|S|4343021|1372533
20790228668949|53005011001|Census Tract 110.01|4343233|1377319|G5020|S|20740228669146|53005011300|Census Tract 113|5251086|1791651|G5020|S|212|4786
20790228669513|53005011002|Census Tract 110.02|2963048|0|G5020|S|20740228669513|53005011002|Census Tract 110.02|2963048|0|G5020|S|2963048|0
20790228669440|53005011100|Census Tract 111|5165167|0|G5020|S|20740228669440|53005011100|Census Tract 111|5165167|0|G5020|S|5165167|0
2079015483107620|53005011201|Census Tract 112.01|1449817|0|G5020|S|20740228669285|53005011200|Census Tract 112|2517603|0|G5020|S|1449716|0
2079015483107620|53005011201|Census Tract 112.01|1449817|0|G5020|S|20740228669146|53005011300|Census Tract 113|5251086|1791651|G5020|S|101|0
2079015483107741|53005011202|Census Tract 112.02|1051656|0|G5020|S|20740228669285|53005011200|Census Tract 112|2517603|0|G5020|S|1051280|0
2079015483107741|53005011202|Census Tract 112.02|1051656|0|G5020|S|20740228669146|53005011300|Census Tract 113|5251086|1791651|G5020|S|376|0
20790228669146|53005011300|Census Tract 113|5399487|1786865|G5020|S|20740228669285|53005011200|Census Tract 112|2517603|0|G5020|S|16607|0
20790228669146|53005011300|Census Tract 113|5399487|1786865|G5020|S|20740228669146|53005011300|Census Tract 113|5251086|1791651|G5020|S|5227939|1786865
20790228669146|53005011300|Census Tract 113|5399487|1786865|G5020|S|20740228669256|53005011501|Census Tract 115.01|52771120|17020317|G5020|S|154941|0
20790228669230|53005011401|Census Tract 114.01|2294217|0|G5020|S|20740228669230|53005011401|Census Tract 114.01|2294217|0|G5020|S|2294217|0
20790228668863|53005011402|Census Tract 114.02|7313000|37468|G5020|S|20740228668863|53005011402|Census Tract 114.02|7313000|37468|G5020|S|7313000|37468
20790228669256|53005011501|Census Tract 115.01|52613799|17020203|G5020|S|20740228669146|53005011300|Census Tract 113|5251086|1791651|G5020|S|22458|0
20790228669256|53005011501|Census Tract 115.01|52613799|17020203|G5020|S|20740228669256|53005011501|Census Tract 115.01|52771120|17020317|G5020|S|52587922|17020203
20790228669256|53005011501|Census Tract 115.01|52613799|17020203|G5020|S|207403716915410|53005011503|Census Tract 115.03|84695302|0|G5020|S|3419|0
207903716915409|53005011504|Census Tract 115.04|13239323|0|G5020|S|207403716915410|53005011503|Census Tract 115.03|84695302|0|G5020|S|4865|0
207903716915409|53005011504|Census Tract 115.04|13239323|0|G5020|S|207403716915409|53005011504|Census Tract 115.04|13251169|0|G5020|S|13234458|0
2079015483107573|53005011505|Census Tract 115.05|3905301|0|G5020|S|207403716915410|53005011503|Census Tract 115.03|84695302|0|G5020|S|3905301|0
2079015483107444|53005011506|Census Tract 115.06|80826685|0|G5020|S|20740228669256|53005011501|Census Tract 115.01|52771120|17020317|G5020|S|28257|0
2079015483107444|53005011506|Census Tract 115.06|80826685|0|G5020|S|207403716915410|53005011503|Census Tract 115.03|84695302|0|G5020|S|80781717|0
2079015483107444|53005011506|Census Tract 115.06|80826685|0|G5020|S|207403716915409|53005011504|Census Tract 115.04|13251169|0|G5020|S|16711|0
20790228669118|53005011600|Census Tract 116|1547789604|90837515|G5020|S|207403716915402|53005010814|Census Tract 108.14|95032697|0|G5020|S|1603727|0
20790228669118|53005011600|Census Tract 116|1547789604|90837515|G5020|S|20740228669118|53005011600|Census Tract 116|1546214799|90846021|G5020|S|1546185684|90837515
20790228669118|53005011600|Census Tract 116|1547789604|90837515|G5020|S|20740228669564|53039950100|Census Tract 9501|3308910847|53813666|G5020|S|193|0
2079015483107407|53005011701|Census Tract 117.01|14935743|688085|G5020|S|20740228669001|53005011700|Census Tract 117|35156855|688085|G5020|S|14935743|688085
2079015483107294|53005011702|Census Tract 117.02|21389640|0|G5020|S|20740228669001|53005011700|Census Tract 117|35156855|688085|G5020|S|20202289|0
2079015483107294|53005011702|Census Tract 117.02|21389640|0|G5020|S|20740228669088|53005011800|Census Tract 118|876681232|3233887|G5020|S|1187351|0
2079015483107261|53005011801|Census Tract 118.01|410493952|1549995|G5020|S|207403716915407|53005010807|Census Tract 108.07|97509144|0|G5020|S|37371|0
2079015483107261|53005011801|Census Tract 118.01|410493952|1549995|G5020|S|20740228669001|53005011700|Census Tract 117|35156855|688085|G5020|S|18823|0
2079015483107261|53005011801|Census Tract 118.01|410493952|1549995|G5020|S|20740228669088|53005011800|Census Tract 118|876681232|3233887|G5020|S|410437758|1549995
2079015483107278|53005011802|Census Tract 118.02|464915571|1708550|G5020|S|20740228669088|53005011800|Census Tract 118|876681232|3233887|G5020|S|464898845|1682857
2079015483107278|53005011802|Census Tract 118.02|464915571|1708550|G5020|S|207403693965688|53025011402|Census Tract 114.02|1375506354|37881082|G5020|S|0|25693
2079015483107278|53005011802|Census Tract 118.02|464915571|1708550|G5020|S|20740483254620|53077001800|Census Tract 18|245367608|1828425|G5020|S|16726|0
20790228668834|53005011900|Census Tract 119|165095738|1044095|G5020|S|20740228668834|53005011900|Census Tract 119|165095738|1045316|G5020|S|165095738|1044095
20790228669337|53005012000|Census Tract 120|1140757890|26458771|G5020|S|20740228669461|53005010201|Census Tract 102.01|43712082|892205|G5020|S|166271|92271
20790228669337|53005012000|Census Tract 120|1140757890|26458771|G5020|S|20740228669337|53005012000|Census Tract 120|1140591685|26330359|G5020|S|1140591619|26296636
20790228669337|53005012000|Census Tract 120|1140757890|26458771|G5020|S|20740246568066|53021020800|Census Tract 208|1177635894|12112347|G5020|S|0|69864
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740865411188|53007960100|Census Tract 9601|3050285931|86392331|G5020|S|3049127559|86384699
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740865411181|53007960300|Census Tract 9603|454591662|47657934|G5020|S|290|0
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740480662927|53047970900|Census Tract 9709|3821210588|4515740|G5020|S|246518|0
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740480662928|53047971000|Census Tract 9710|1573179184|5757057|G5020|S|317466|0
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740481269476|53057951100|Census Tract 9511|2338156970|26149280|G5020|S|321125|0
20790865411188|53007960100|Census Tract 9601|3050035412|86384699|G5020|S|20740922000119|53061053700|Census Tract 537|1686890318|7170509|G5020|S|22454|0
2079015504626964|53007960201|Census Tract 9602.01|405302149|2737870|G5020|S|20740865411191|53007960200|Census Tract 9602|2545896090|20471933|G5020|S|405302149|2737870
2079015504626930|53007960202|Census Tract 9602.02|296781774|0|G5020|S|20740865411191|53007960200|Census Tract 9602|2545896090|20471933|G5020|S|296781774|0
2079015504626919|53007960203|Census Tract 9602.03|1843360337|17734063|G5020|S|20740865411191|53007960200|Census Tract 9602|2545896090|20471933|G5020|S|1843189514|17734063
2079015504626919|53007960203|Census Tract 9602.03|1843360337|17734063|G5020|S|20740836372561|53033032800|Census Tract 328|1390417351|27387798|G5020|S|18085|0
2079015504626919|53007960203|Census Tract 9602.03|1843360337|17734063|G5020|S|20740922000119|53061053700|Census Tract 537|1686890318|7170509|G5020|S|118773|0
2079015504626919|53007960203|Census Tract 9602.03|1843360337|17734063|G5020|S|20740922003764|53061053801|Census Tract 538.01|1135950463|5351471|G5020|S|33965|0
2079015504626921|53007960301|Census Tract 9603.01|300227979|37929865|G5020|S|20740865411188|53007960100|Census Tract 9601|3050285931|86392331|G5020|S|375|0
2079015504626921|53007960301|Census Tract 9603.01|300227979|37929865|G5020|S|20740865411181|53007960300|Census Tract 9603|454591662|47657934|G5020|S|300227604|37929865
2079015504626923|53007960302|Census Tract 9603.02|147118333|5287764|G5020|S|20740865411181|53007960300|Census Tract 9603|454591662|47657934|G5020|S|147118333|5287764
2079015504626925|53007960303|Census Tract 9603.03|7245001|4440305|G5020|S|20740865411181|53007960300|Census Tract 9603|454591662|47657934|G5020|S|7244556|4440305
2079015504626925|53007960303|Census Tract 9603.03|7245001|4440305|G5020|S|20740865411196|53007960400|Census Tract 9604|136944662|19189804|G5020|S|445|0
20790865411196|53007960400|Census Tract 9604|136945096|19189804|G5020|S|20740865411181|53007960300|Census Tract 9603|454591662|47657934|G5020|S|879|0
20790865411196|53007960400|Census Tract 9604|136945096|19189804|G5020|S|20740865411196|53007960400|Census Tract 9604|136944662|19189804|G5020|S|136944217|19189804
2079015504626937|53007960501|Census Tract 9605.01|203810260|826882|G5020|S|20740865411191|53007960200|Census Tract 9602|2545896090|20471933|G5020|S|535201|0
2079015504626937|53007960501|Census Tract 9605.01|203810260|826882|G5020|S|20740865411158|53007960500|Census Tract 9605|830897195|1548736|G5020|S|202467789|826882
2079015504626937|53007960501|Census Tract 9605.01|203810260|826882|G5020|S|20740865411198|53007960700|Census Tract 9607|136980344|6626088|G5020|S|807270|0
2079015504626933|53007960502|Census Tract 9605.02|628198418|721854|G5020|S|20740865411158|53007960500|Census Tract 9605|830897195|1548736|G5020|S|628114973|721854
2079015504626933|53007960502|Census Tract 9605.02|628198418|721854|G5020|S|20740898313267|53037975100|Census Tract 9751|1766653329|52868515|G5020|S|20945|0
2079015504626933|53007960502|Census Tract 9605.02|628198418|721854|G5020|S|20740898313454|53037975300|Census Tract 9753|1536324352|12882808|G5020|S|62500|0
20790865411179|53007960600|Census Tract 9606|9113451|399351|G5020|S|20740865411179|53007960600|Census Tract 9606|9113451|399351|G5020|S|9113451|399351
20790865411198|53007960700|Census Tract 9607|136244192|6626088|G5020|S|20740865411188|53007960100|Census Tract 9601|3050285931|86392331|G5020|S|10859|0
20790865411198|53007960700|Census Tract 9607|136244192|6626088|G5020|S|20740865411158|53007960500|Census Tract 9605|830897195|1548736|G5020|S|60259|0
20790865411198|53007960700|Census Tract 9607|136244192|6626088|G5020|S|20740865411198|53007960700|Census Tract 9607|136980344|6626088|G5020|S|136173074|6626088
207903716915406|53007960801|Census Tract 9608.01|25064629|159054|G5020|S|207403716915406|53007960801|Census Tract 9608.01|25066020|159054|G5020|S|25030790|159054
207903716915406|53007960801|Census Tract 9608.01|25064629|159054|G5020|S|207403716915401|53007961302|Census Tract 9613.02|27303992|0|G5020|S|33839|0
2079015504626983|53007960803|Census Tract 9608.03|1822247|158334|G5020|S|207403716915399|53007960802|Census Tract 9608.02|7023065|823088|G5020|S|1822247|158334
2079015504626970|53007960804|Census Tract 9608.04|5200818|664754|G5020|S|207403716915399|53007960802|Census Tract 9608.02|7023065|823088|G5020|S|5200818|664754
