census_tract_2020,census_tract_2010
53033001400,53033001400.0
53033001500,53033001500.0
53033001600,53033001600.0
53033001701,53033001701.0
53033001702,53033001702.0
53033001800,53033001800.0
53033001900,53033001900.0
53033002000,53033002000.0
53033002100,53033002100.0
53033002200,53033002200.0
53033002400,53033002400.0
53033002500,53033002500.0
53033002600,53033002600.0
53033002700,53033002700.0
53033002800,53033002800.0
53033002900,53033002900.0
53033003000,53033003000.0
53033003100,53033003100.0
53033003201,53033003200.0
53033003202,53033003200.0
53033003301,53033003300.0
53033003302,53033003300.0
53033003400,53033003400.0
53033003500,53033003500.0
53033003601,53033003600.0
53033003602,53033003600.0
53033003800,53033003800.0
53033003900,53033003900.0
53033004000,53033004000.0
53033004101,53033004100.0
53033004102,53033004100.0
53033004201,53033004200.0
53033004202,53033004200.0
53033004301,53033004301.0
53033004302,53033004302.0
53033004401,53033004400.0
53033004402,53033004400.0
53033004500,53033004500.0
53033004600,53033004600.0
53033004701,53033004700.0
53033004702,53033004700.0
53033004703,53033004700.0
53033004800,53033004800.0
53033004901,53033004900.0
53033004902,53033004900.0
53033005000,53033005000.0
53033005100,53033005100.0
53033005201,53033005200.0
53033005202,53033005200.0
53033005303,53033005302.0
53033005304,53033005302.0
53033005305,53033005301.0
53033005306,53033005301.0
53033005307,53033005301.0
53033005401,53033005400.0
53033005402,53033005400.0
53033005600,53033005600.0
53033005700,53033005700.0
53033005801,53033005801.0
53033005803,53033005802.0
53033005804,53033005802.0
53033005901,53033005900.0
53033005902,53033005900.0
53033006000,53033006000.0
53033006100,53033006100.0
53033006200,53033006200.0
53033006300,53033006300.0
53033006400,53033006400.0
53033006500,53033006500.0
53033006600,53033006600.0
53033006701,53033006700.0
53033006702,53033006700.0
53033006703,53033006700.0
53033006800,53033006800.0
53033006900,53033006900.0
53033007001,53033007000.0
53033007002,53033007000.0
53033007101,53033007100.0
53033007102,53033007100.0
53033007201,53033007200.0
53033007202,53033007200.0
53033007203,53033007200.0
53033007301,53033007300.0
53033007302,53033007300.0
53033007303,53033007300.0
53033007403,53033007401.0
53033007404,53033007401.0
53033007405,53033007402.0
53033007406,53033007402.0
53033007501,53033007500.0
53033007502,53033007500.0
53033007503,53033007500.0
53033007600,53033007600.0
53033007700,53033007700.0
53033007800,53033007800.0
53033007901,53033007900.0
53033007902,53033007900.0
53033008002,53033008002.0
53033008003,53033008001.0
53033008004,53033008001.0
53033008101,53033008100.0
53033008102,53033008100.0
53033008200,53033008200.0
53033008300,53033008300.0
53033008401,53033008400.0
53033008402,53033008400.0
53033008500,53033008500.0
53033008600,53033008600.0
53033008700,53033008700.0
53033008800,53033008800.0
53033008900,53033008900.0
53033009000,53033009000.0
53033009100,53033009100.0
53033009200,53033009200.0
53033009300,53033009300.0
53033009400,53033009400.0
53033009500,53033009500.0
53033009600,53033009600.0
53033009701,53033009701.0
53033009702,53033009702.0
53033009801,53033009800.0
53033009802,53033009800.0
53033009900,53033009900.0
53033010001,53033010001.0
53033010002,53033010002.0
53033010101,53033010100.0
53033010102,53033010100.0
53033010200,53033010200.0
53033010301,53033010300.0
53033010302,53033010300.0
53033010401,53033010401.0
53033010402,53033010402.0
53033010501,53033010500.0
53033010502,53033010500.0
53033010601,53033010600.0
53033010602,53033010600.0
53033010701,53033010701.0
53033010702,53033010702.0
53033010800,53033010800.0
53033010900,53033010900.0
53033011001,53033011001.0
53033011002,53033011002.0
53033011101,53033011101.0
53033011102,53033011102.0
53033011200,53033011200.0
53033011300,53033011300.0
53033011401,53033011401.0
53033011402,53033011402.0
53033011500,53033011500.0
53033011601,53033011600.0
53033011602,53033011600.0
53033011700,53033011700.0
53033011801,53033011800.0
53033011802,53033011800.0
53033011901,53033011900.0
53033011902,53033011900.0
53033012000,53033012000.0
53033012100,53033012100.0
53033020100,53033020100.0
53033020200,53033020200.0
53033020301,53033020300.0
53033020302,53033020300.0
53033020401,53033020401.0
53033020402,53033020402.0
53033020500,53033020500.0
53033020600,53033020600.0
53033020700,53033020700.0
53033020800,53033020800.0
53033020900,53033020900.0
53033021000,53033021000.0
53033021100,53033021100.0
53033021300,53033021300.0
53033021400,53033021400.0
53033021500,53033021500.0
53033021600,53033021600.0
53033021701,53033021700.0
53033021702,53033021700.0
53033021802,53033021802.0
53033021803,53033021803.0
53033021804,53033021804.0
53033021903,53033021903.0
53033021904,53033021904.0
53033021905,53033021905.0
53033021906,53033021906.0
53033022001,53033022001.0
53033022003,53033022003.0
53033022005,53033022005.0
53033022006,53033022006.0
53033022101,53033022101.0
53033022102,53033022102.0
53033022201,53033022201.0
53033022203,53033022203.0
53033022204,53033022202.0
53033022205,53033022202.0
53033022300,53033022300.0
53033022401,53033022400.0
53033022402,53033022400.0
53033022501,53033022500.0
53033022502,53033022500.0
53033022603,53033022603.0
53033022604,53033022604.0
53033022605,53033022605.0
53033022606,53033022606.0
53033022701,53033022701.0
53033022702,53033022702.0
53033022703,53033022703.0
53033022802,53033022802.0
53033022803,53033022803.0
53033022804,53033022801.0
53033022805,53033022801.0
53033022901,53033022901.0
53033022902,53033022902.0
53033023000,53033023000.0
53033023100,53033023100.0
53033023201,53033023201.0
53033023202,53033023202.0
53033023300,53033023300.0
53033023401,53033023401.0
53033023403,53033023403.0
53033023404,53033023404.0
53033023500,53033023500.0
53033023601,53033023601.0
53033023603,53033023603.0
53033023604,53033023604.0
53033023701,53033023700.0
53033023702,53033023700.0
53033023801,53033023801.0
53033023805,53033023803.0
53033023806,53033023803.0
53033023807,53033023804.0
53033023808,53033023804.0
53033023901,53033023900.0
53033023902,53033023900.0
53033024001,53033024000.0
53033024002,53033024000.0
53033024100,53033024100.0
53033024200,53033024200.0
53033024301,53033024300.0
53033024302,53033024300.0
53033024400,53033024400.0
53033024500,53033024500.0
53033024601,53033024601.0
53033024602,53033024602.0
53033024701,53033024701.0
53033024703,53033024702.0
53033024704,53033024702.0
53033024800,53033024800.0
53033024901,53033024901.0
53033024902,53033024902.0
53033024904,53033024903.0
53033024905,53033024903.0
53033025001,53033025001.0
53033025005,53033025005.0
53033025006,53033025006.0
53033025007,53033025003.0
53033025008,53033025003.0
53033025101,53033025101.0
53033025103,53033025102.0
53033025104,53033025102.0
53033025201,53033025200.0
53033025202,53033025200.0
53033025302,53033025302.0
53033025303,53033025301.0
53033025304,53033025301.0
53033025401,53033025400.0
53033025402,53033025400.0
53033025500,53033025500.0
53033025601,53033025601.0
53033025602,53033025602.0
53033025702,53033025702.0
53033025703,53033025701.0
53033025704,53033025701.0
53033025803,53033025803.0
53033025804,53033025804.0
53033025805,53033025805.0
53033025806,53033025806.0
53033026001,53033026001.0
53033026003,53033026002.0
53033026004,53033026002.0
53033026101,53033026100.0
53033026102,53033026100.0
53033026200,53033026200.0
53033026300,53033026300.0
53033026400,53033026400.0
53033026500,53033026500.0
53033026600,53033026600.0
53033026700,53033026700.0
53033026801,53033026801.0
53033026802,53033026802.0
53033027000,53033027000.0
53033027100,53033027100.0
53033027200,53033027200.0
53033027300,53033027300.0
53033027400,53033027400.0
53033027500,53033027500.0
53033027600,53033027600.0
53033027701,53033027701.0
53033027702,53033027702.0
53033027800,53033027800.0
53033027901,53033027900.0
53033027902,53033027900.0
53033028000,53033028000.0
53033028100,53033028100.0
53033028200,53033028200.0
53033028300,53033028300.0
53033028402,53033028402.0
53033028403,53033028403.0
53033028500,53033028500.0
53033028600,53033028600.0
53033028700,53033028700.0
53033028801,53033028801.0
53033028802,53033028802.0
53033028901,53033028901.0
53033028902,53033028902.0
53033029001,53033029001.0
53033029003,53033029003.0
53033029004,53033029004.0
53033029101,53033029101.0
53033029102,53033029102.0
53033029203,53033029203.0
53033029205,53033029205.0
53033029206,53033029206.0
53033029207,53033029204.0
53033029208,53033029204.0
53033029304,53033029304.0
53033029305,53033029305.0
53033029306,53033029306.0
53033029307,53033029307.0
53033029308,53033029303.0
53033029309,53033029303.0
53033029403,53033029403.0
53033029405,53033029405.0
53033029406,53033029406.0
53033029407,53033029407.0
53033029408,53033029408.0
53033029504,53033029504.0
53033029505,53033029503.0
53033029506,53033029503.0
