census_tract,zip_code
53061041000,98203.0
53061041100,98203.0
53061041201,98203.0
53061041202,98203.0
53061041301,98275.0
53061041303,98203.0
53061041304,98203.0
53061041400,98203.0
53061041500,98203.0
53061041601,98208.0
53061041605,98208.0
53061041606,98208.0
53061041607,98208.0
53061041608,98208.0
53061041701,98208.0
53061041703,98087.0
53061041704,98012.0
53061041805,98208.0
53061041806,98208.0
53061041808,98208.0
53061041809,98204.0
53061041810,98204.0
53061041811,98087.0
53061041812,98087.0
53061041901,98204.0
53061041903,98204.0
53061041904,98204.0
53061041905,98204.0
53061042001,98275.0
53061042003,98026.0
53061042004,98087.0
53061042005,98275.0
53061042006,98275.0
53061050101,98026.0
53061050102,98087.0
53061050200,98026.0
53061050300,98026.0
53061050401,98026.0
53061050402,98026.0
53061050500,98020.0
53061050600,98020.0
53061050700,98020.0
53061050800,98026.0
53061050900,98026.0
53061051000,98043.0
53061051100,98043.0
53061051200,98043.0
53061051300,98043.0
53061051400,98036.0
53061051500,98036.0
53061051601,98037.0
53061051602,98037.0
53061051701,98037.0
53061051702,98037.0
53061051802,98037.0
53061051803,98087.0
53061051804,98087.0
53061051905,98036.0
53061051912,98072.0
53061051913,98036.0
53061051914,98036.0
53061051915,98036.0
53061051916,98021.0
53061051917,98021.0
53061051918,98021.0
53061051921,98012.0
53061051922,98012.0
53061051923,98012.0
53061051924,98012.0
53061051925,98021.0
53061051926,98021.0
53061051927,98012.0
53061051928,98037.0
53061052003,98012.0
53061052004,98012.0
53061052005,98012.0
53061052006,98012.0
53061052007,98012.0
53061052104,98270.0
53061052105,98290.0
53061052107,98012.0
53061052108,98296.0
53061052112,98296.0
53061052113,98296.0
53061052114,98296.0
53061052115,98208.0
53061052118,98296.0
53061052203,98272.0
53061052204,98272.0
53061052206,98290.0
53061052207,98272.0
53061052208,98272.0
53061052209,98272.0
53061052301,98290.0
53061052302,98290.0
53061052401,98290.0
53061052402,98290.0
53061052502,98290.0
53061052503,98258.0
53061052504,98258.0
53061052603,98258.0
53061052604,98258.0
53061052605,98258.0
53061052606,98258.0
53061052607,98258.0
53061052701,98223.0
53061052705,98270.0
53061052706,98258.0
53061052707,98270.0
53061052708,98270.0
53061052709,98270.0
53061052803,98271.0
53061052804,98271.0
53061052805,98270.0
53061052806,98270.0
53061052903,98270.0
53061052904,98270.0
53061052905,98270.0
53061052906,98270.0
53061053101,98271.0
53061053102,98271.0
53061053201,98292.0
53061053202,98292.0
53061053301,98292.0
53061053302,98292.0
53061053400,98223.0
53061053504,98223.0
53061053505,98223.0
53061053506,98223.0
53061053507,98223.0
53061053508,98223.0
53061053509,98223.0
53061053602,98252.0
53061053603,98258.0
53061053604,98252.0
53061053700,98223.0
53061053801,98272.0
53061053802,98294.0
53061053803,98251.0
53061940001,98271.0
53061940002,98271.0
53063000200,99217.0
53063000300,99207.0
53063000400,99207.0
53063000500,99205.0
53063000600,99205.0
53063000700,99205.0
53063000800,99208.0
53063000900,99205.0
53063001000,99205.0
53063001100,99205.0
53063001200,99205.0
53063001300,99205.0
53063001400,99207.0
53063001500,99207.0
53063001600,99207.0
53063001800,99207.0
53063001900,99205.0
53063002000,99205.0
53063002100,99205.0
53063002300,99201.0
53063002400,99201.0
53063002500,99207.0
53063002600,99207.0
53063002900,99202.0
53063003000,99202.0
53063003100,99202.0
53063003200,99204.0
53063003500,99201.0
53063003600,99201.0
53063003800,99224.0
53063003900,99224.0
53063004000,99204.0
53063004100,99203.0
53063004200,99203.0
53063004300,99203.0
53063004400,99203.0
53063004500,99203.0
53063004601,99223.0
53063004602,99223.0
53063004700,99223.0
53063004800,99223.0
53063004900,99223.0
53063005000,99223.0
53063010100,99025.0
53063010201,99003.0
53063010202,99021.0
53063010301,99006.0
53063010303,99006.0
53063010304,99006.0
53063010305,99005.0
53063010401,99001.0
53063010402,99026.0
53063010501,99218.0
53063010503,99208.0
53063010504,99021.0
53063010601,99208.0
53063010602,99208.0
53063010700,99208.0
53063010800,99218.0
53063010900,99218.0
53063011000,99208.0
53063011101,99208.0
53063011102,99208.0
53063011201,99217.0
53063011202,99021.0
53063011300,99212.0
53063011400,99216.0
53063011500,99212.0
53063011600,99212.0
53063011701,99212.0
53063011702,99216.0
53063011800,99216.0
53063011900,99206.0
53063012000,99206.0
53063012100,99212.0
53063012200,99212.0
53063012300,99212.0
53063012401,99206.0
53063012402,99206.0
53063012500,99206.0
53063012600,99206.0
53063012701,99216.0
53063012702,99216.0
53063012801,99216.0
53063012802,99206.0
53063012901,99216.0
53063012902,99037.0
53063013000,99037.0
53063013100,99016.0
53063013201,99027.0
53063013202,99019.0
53063013300,99016.0
53063013401,99223.0
53063013500,99224.0
53063013600,99224.0
53063013700,99224.0
53063013800,99011.0
53063013900,99022.0
53063014001,99004.0
53063014002,99004.0
53063014100,99004.0
53063014200,99004.0
53063014300,99012.0
53063014400,99217.0
53063014500,99220.0
53065941000,99129.0
53065950100,99141.0
53065950200,99114.0
53065950300,99114.0
53065950500,99114.0
53065950600,99114.0
53065950700,99109.0
53065950800,99109.0
53065950900,99129.0
53065951100,99181.0
