id,Total,Geographic Area Name,zip
8600000US98408,18830,ZCTA5 98408,98408
8600000US98409,22989,ZCTA5 98409,98409
8600000US98416,1014,ZCTA5 98416,98416
8600000US98418,10069,ZCTA5 98418,98418
8600000US98421,1308,ZCTA5 98421,98421
8600000US98422,20151,ZCTA5 98422,98422
8600000US98424,10140,ZCTA5 98424,98424
8600000US98430,13,ZCTA5 98430,98430
8600000US98433,14584,ZCTA5 98433,98433
8600000US98438,366,ZCTA5 98438,98438
8600000US98439,4839,ZCTA5 98439,98439
8600000US98443,5371,ZCTA5 98443,98443
8600000US98444,33956,ZCTA5 98444,98444
8600000US98445,29661,ZCTA5 98445,98445
8600000US98446,10173,ZCTA5 98446,98446
8600000US98447,842,ZCTA5 98447,98447
8600000US98465,6340,ZCTA5 98465,98465
8600000US98466,26944,ZCTA5 98466,98466
8600000US98467,14728,ZCTA5 98467,98467
8600000US98498,27546,ZCTA5 98498,98498
8600000US98499,29750,ZCTA5 98499,98499
8600000US98501,38133,ZCTA5 98501,98501
8600000US98502,30491,ZCTA5 98502,98502
8600000US98503,36611,ZCTA5 98503,98503
8600000US98506,18199,ZCTA5 98506,98506
8600000US98512,28130,ZCTA5 98512,98512
8600000US98513,31975,ZCTA5 98513,98513
8600000US98516,20166,ZCTA5 98516,98516
8600000US98520,23814,ZCTA5 98520,98520
8600000US98524,3232,ZCTA5 98524,98524
8600000US98526,398,ZCTA5 98526,98526
8600000US98527,324,ZCTA5 98527,98527
8600000US98528,9983,ZCTA5 98528,98528
8600000US98530,565,ZCTA5 98530,98530
8600000US98531,24121,ZCTA5 98531,98531
8600000US98532,23596,ZCTA5 98532,98532
8600000US98533,609,ZCTA5 98533,98533
8600000US98535,445,ZCTA5 98535,98535
8600000US98536,211,ZCTA5 98536,98536
8600000US98537,2129,ZCTA5 98537,98537
8600000US98538,304,ZCTA5 98538,98538
8600000US98541,10101,ZCTA5 98541,98541
8600000US98542,656,ZCTA5 98542,98542
8600000US98544,73,ZCTA5 98544,98544
8600000US98546,2909,ZCTA5 98546,98546
8600000US98547,1436,ZCTA5 98547,98547
8600000US98548,2193,ZCTA5 98548,98548
8600000US98550,11382,ZCTA5 98550,98550
8600000US98552,508,ZCTA5 98552,98552
8600000US98555,599,ZCTA5 98555,98555
8600000US98557,3225,ZCTA5 98557,98557
8600000US98558,192,ZCTA5 98558,98558
8600000US98559,93,ZCTA5 98559,98559
8600000US98560,142,ZCTA5 98560,98560
8600000US98562,195,ZCTA5 98562,98562
8600000US98563,8001,ZCTA5 98563,98563
8600000US98564,2459,ZCTA5 98564,98564
8600000US98565,618,ZCTA5 98565,98565
8600000US98568,2519,ZCTA5 98568,98568
8600000US98569,5784,ZCTA5 98569,98569
8600000US98570,3889,ZCTA5 98570,98570
8600000US98571,483,ZCTA5 98571,98571
8600000US98572,797,ZCTA5 98572,98572
8600000US98575,228,ZCTA5 98575,98575
8600000US98576,4667,ZCTA5 98576,98576
8600000US98577,6338,ZCTA5 98577,98577
8600000US98579,12870,ZCTA5 98579,98579
8600000US98580,11099,ZCTA5 98580,98580
8600000US98581,424,ZCTA5 98581,98581
8600000US98582,611,ZCTA5 98582,98582
8600000US98583,124,ZCTA5 98583,98583
8600000US98584,36630,ZCTA5 98584,98584
8600000US98585,655,ZCTA5 98585,98585
8600000US98586,1944,ZCTA5 98586,98586
8600000US98587,942,ZCTA5 98587,98587
8600000US98588,1829,ZCTA5 98588,98588
8600000US98589,7320,ZCTA5 98589,98589
8600000US98590,356,ZCTA5 98590,98590
8600000US98591,3952,ZCTA5 98591,98591
8600000US98592,1764,ZCTA5 98592,98592
8600000US98593,1113,ZCTA5 98593,98593
8600000US98595,2917,ZCTA5 98595,98595
8600000US98596,6524,ZCTA5 98596,98596
8600000US98597,21557,ZCTA5 98597,98597
8600000US98601,2982,ZCTA5 98601,98601
8600000US98602,200,ZCTA5 98602,98602
8600000US98603,1017,ZCTA5 98603,98603
8600000US98604,34232,ZCTA5 98604,98604
8600000US98605,1225,ZCTA5 98605,98605
8600000US98606,9027,ZCTA5 98606,98606
8600000US98607,27899,ZCTA5 98607,98607
8600000US98610,2871,ZCTA5 98610,98610
8600000US98611,9133,ZCTA5 98611,98611
8600000US98612,2704,ZCTA5 98612,98612
8600000US98613,400,ZCTA5 98613,98613
8600000US98614,353,ZCTA5 98614,98614
8600000US98616,150,ZCTA5 98616,98616
8600000US98617,1042,ZCTA5 98617,98617
8600000US98619,457,ZCTA5 98619,98619
8600000US98620,7123,ZCTA5 98620,98620
8600000US98621,276,ZCTA5 98621,98621
8600000US98624,1532,ZCTA5 98624,98624
8600000US98625,6133,ZCTA5 98625,98625
8600000US98626,24523,ZCTA5 98626,98626
8600000US98628,385,ZCTA5 98628,98628
8600000US98629,8364,ZCTA5 98629,98629
8600000US98631,3243,ZCTA5 98631,98631
8600000US98632,49205,ZCTA5 98632,98632
8600000US98635,1735,ZCTA5 98635,98635
8600000US98638,1525,ZCTA5 98638,98638
8600000US98639,847,ZCTA5 98639,98639
8600000US98640,4380,ZCTA5 98640,98640
8600000US98641,5,ZCTA5 98641,98641
8600000US98642,15696,ZCTA5 98642,98642
8600000US98643,362,ZCTA5 98643,98643
