time,zip,county,gas_price,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev,n_evse
2017-01-31,98582,Lewis,2.743,,,,43,24,20,0
2017-01-31,98583,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98584,Mason,2.743,44.0,18.0,26.0,43,24,20,0
2017-01-31,98585,Lewis,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98586,Pacific,2.743,,,,43,24,20,0
2017-01-31,98587,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98588,Mason,2.743,3.0,,3.0,43,24,20,0
2017-01-31,98589,Thurston,2.743,16.0,8.0,8.0,43,24,20,0
2017-01-31,98590,Pacific,2.743,,,,43,24,20,0
2017-01-31,98591,Lewis,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98592,Mason,2.743,4.0,2.0,2.0,43,24,20,1
2017-01-31,98593,Lewis,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98595,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98596,Lewis,2.743,5.0,2.0,3.0,43,24,20,0
2017-01-31,98597,Thurston,2.743,29.0,13.0,16.0,43,24,20,0
2017-01-31,98601,Clark,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98602,Klickitat,2.743,,,,43,24,20,0
2017-01-31,98603,Cowlitz,2.743,2.0,,2.0,43,24,20,0
2017-01-31,98604,Clark,2.743,62.0,40.0,22.0,43,24,20,0
2017-01-31,98605,Klickitat,2.743,,,,43,24,20,0
2017-01-31,98606,Clark,2.743,41.0,28.0,13.0,43,24,20,0
2017-01-31,98607,Clark,2.743,136.0,87.0,49.0,43,24,20,0
2017-01-31,98610,Skamania,2.743,2.0,,2.0,43,24,20,1
2017-01-31,98611,Cowlitz,2.743,8.0,,8.0,43,24,20,1
2017-01-31,98612,Wahkiakum,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98613,Klickitat,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98614,Pacific,2.743,,,,43,24,20,0
2017-01-31,98616,Cowlitz,2.743,,,,43,24,20,1
2017-01-31,98617,Klickitat,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98619,Klickitat,2.743,2.0,1.0,1.0,43,24,20,0
